alcohol_beer_and_wine,alcohol_full_bar,alcohol_none,businessAcceptsCreditCards_False,businessAcceptsCreditCards_True,businessParking_False,businessParking_True,goodForKids_False,goodForKids_True,noiseLevel_average,noiseLevel_loud,noiseLevel_quiet,noiseLevel_very_loud,restaurantsAttire_casual,restaurantsAttire_dressy,restaurantsAttire_formal,restaurantsDelivery_False,restaurantsDelivery_True,restaurantsGoodForGroups_False,restaurantsGoodForGroups_True,restaurantsPriceRange_1,restaurantsPriceRange_2,restaurantsPriceRange_3,restaurantsPriceRange_4,restaurantsReservations_False,restaurantsReservations_True,restaurantsTakeOut_False,restaurantsTakeOut_True,smoking_no,smoking_outdoor,smoking_yes,wiFi_free,wiFi_no,wiFi_paid,postal_code,neighborhood,stars,review_count
0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,M4P 1G6,Yonge and Eglinton,2.0,0.0010905125408942203
0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,M2N,Willowdale,4.0,0.064340239912759
0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,M9W 0B5,Etobicoke,3.5,0.011995637949836423
0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,M6G 1K8,Koreatown,4.5,0.013086150490730643
0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,M6H 1A4,Dufferin Grove,4.0,0.011450381679389313
1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,M6H 1N6,Bloordale Village,4.0,0.011995637949836423
0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,M5S 3K6,Discovery District,3.5,0.003816793893129771
0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,M5V 3T4,Entertainment District,3.5,0.0916030534351145
0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,M5A 2M6,Corktown,3.5,0.05834242093784078
0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,M4Y 2G1,Church-Wellesley Village,3.5,0.026717557251908396
0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,M4P 2C6,Yonge and Eglinton,2.5,0.0059978189749182115
0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,M6J 1V9,Trinity Bellwoods,3.5,0.09869138495092694
1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M5R 1A8,Yorkville,3.5,0.026172300981461286
1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,M5T 2G6,Chinatown,3.5,0.04471101417666303
1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,M4C 1H6,The Danforth,3.0,0.015812431842966195
0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M4S 2M5,Mount Pleasant and Davisville,3.5,0.0021810250817884407
0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,M3M 3G5,Downsview,4.0,0.025627044711014176
1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M6K 3P6,Liberty Village,4.0,0.011995637949836423
0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M4C 1L4,The Danforth,3.5,0.010359869138495093
0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,M5B 2H6,Downtown Core,2.5,0.0021810250817884407
0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,M6J,Beaconsfield Village,3.5,0.027262813522355506
0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,M4S 1S5,Yonge and Eglinton,2.5,0.003816793893129771
0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M4E 1E9,The Beach,4.0,0.014721919302071973
1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M6C 1B2,Wychwood,4.0,0.019629225736095966
1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,M4J 1L2,Greektown,3.5,0.025627044711014176
0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,M6K 1V4,Brockton Village,4.0,0.04198473282442748
0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,M4C 1K4,The Danforth,3.5,0.007088331515812432
0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M6K 3C5,Liberty Village,4.0,0.03925845147219193
1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,M6J 1V9,Trinity Bellwoods,3.0,0.023446019629225736
0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,M5S 1Y3,The Annex,1.0,0.0021810250817884407
