Hood,Ward
Agincourt North,41
Agincourt South-Malvern West,41
Alderwood,6
Annex,20
Banbury-Don Mills,25
Bathurst Manor,10
Bay Street Corridor,27
Bayview Village,24
Bayview Woods-Steeles,24
Bedford Park-Nortown,16
Beechborough-Greenbrook,12
Bendale,38
Birchcliffe-Cliffside,36
Black Creek,8
Blake-Jones,30
Briar Hill-Belgravia,15
Bridle Path-Sunnybrook-York Mills,25
Broadview North,29
Brookhaven-Amesbury,12
Cabbagetown-South St. James Town,28
Caledonia-Fairbank,17
Casa Loma,22
Centennial Scarborough,44
Church-Yonge Corridor,27
Clairlea-Birchmount,35
Clanton Park,10
Cliffcrest,36
Corso Italia-Davenport,17
Danforth,30
Danforth East York,29
Don Valley Village,33
Dorset Park,37
Dovercourt-Wallace Emerson-Junction,18
Downsview-Roding-CFB,9
Dufferin Grove,18
East End-Danforth,32
Edenbridge-Humber Valley,4
Eglinton East,38
Elms-Old Rexdale,2
Englemount-Lawrence,15
Eringate-Centennial-West Deane,3
Etobicoke West Mall,3
Flemingdon Park,26
Forest Hill North,21
Forest Hill South,22
Glenfield-Jane Heights,7
Greenwood-Coxwell,30
Guildwood,43
Henry Farm,33
High Park North,13
High Park-Swansea,13
Highland Creek,43
Hillcrest Village,24
Humber Heights-Westmount,2
Humber Summit,7
Humbermede,7
Humewood-Cedarvale,21
Ionview,37
Islington-City Centre West,5
Junction Area,11
Keelesdale-Eglinton West,12
Kennedy Park,35
Kensington-Chinatown,28
Kingsview Village-The Westway,2
Kingsway South,5
Lambton Baby Point,13
L'Amoreaux,39
Lansing-Westgate,23
Lawrence Park North,25
Lawrence Park South,16
Leaside-Bennington,26
Little Portugal,18
Long Branch,6
Malvern,42
Maple Leaf,12
Markland Wood,3
Milliken,41
Mimico (includes Humber Bay Shores),6
Morningside,43
Moss Park,28
Mount Dennis,11
Mount Olive-Silverstone-Jamestown,1
Mount Pleasant East,27
Mount Pleasant West,22
New Toronto,6
Newtonbrook East,24
Newtonbrook West,23
Niagara,19
North Riverdale,30
North St. James Town,27
Oakridge,35
Oakwood Village,15
O'Connor-Parkview,31
Old East York,29
Palmerston-Little Italy,19
Parkwoods-Donalda,34
Pelmo Park-Humberlea,11
Playter Estates-Danforth,29
Pleasant View,33
Princess-Rosethorn,4
Regent Park,28
Rexdale-Kipling,2
Rockcliffe-Smythe,11
Roncesvalles,14
Rosedale-Moore Park,27
Rouge,42
Runnymede-Bloor West Village,13
Rustic,12
Scarborough Village,43
South Parkdale,14
South Riverdale,30
St.Andrew-Windfields,25
Steeles,39
Stonegate-Queensway,5
Tam O'Shanter-Sullivan,40
Taylor-Massey,35
The Beaches,32
Thistletown-Beaumond Heights,1
Thorncliffe Park,26
Trinity-Bellwoods,19
University,20
Victoria Village,34
Waterfront Communities-The Island,28
West Hill,44
West Humber-Clairville,1
Westminster-Branson,10
Weston,11
Weston-Pelham Park,17
Wexford/Maryvale,37
Willowdale East,23
Willowdale West,23
Willowridge-Martingrove-Richview,4
Woburn,38
Woodbine Corridor,32
Woodbine-Lumsden,31
Wychwood,21
Yonge-Eglinton,16
Yonge-St.Clair,22
York University Heights,8
Yorkdale-Glen Park,15
