M5H,Downtown Toronto,Adelaide
M1S,Scarborough,Agincourt
M1V,Scarborough,Agincourt North
M9V,Etobicoke,Albion Gardens
M8W,Etobicoke,Alderwood
M3H,North York,Bathurst Manor
M5V,Downtown Toronto,Bathurst Quay
M2K,North York,Bayview Village
M9V,Etobicoke,Beaumond Heights
M5M,North York,Bedford Park
M5E,Downtown Toronto,Berczy Park
M1N,Scarborough,Birch Cliff
M9C,Etobicoke,Bloordale Gardens
M6K,West Toronto,Brockton
M7Y,East Toronto,Business reply mail Processing Centre969 Eastern
M4X,Downtown Toronto,Cabbagetown
M6E,York,Caledonia-Fairbanks
M7R,Mississauga,Canada Post Gateway Processing Centre
M1H,Scarborough,Cedarbrae
M5G,Downtown Toronto,Central Bay Street
M3K,North York,CFB Toronto
M5T,Downtown Toronto,Chinatown
M6G,Downtown Toronto,Christie
M4Y,Downtown Toronto,Church and Wellesley
M1L,Scarborough,Clairlea
M1T,Scarborough,Clarks Corners
M1M,Scarborough,Cliffcrest
M1M,Scarborough,Cliffside
M1N,Scarborough,Cliffside West
M9B,Etobicoke,Cloverdale
M5V,Downtown Toronto,CN Tower
M5L,Downtown Toronto,Commerce Court
M4S,Central Toronto,Davisville
M4P,Central Toronto,Davisville North
M4V,Central Toronto,Deer Park
M6M,York,Del Ray
M5K,Downtown Toronto,Design Exchange
M3B,North York,Don Mills North
M3C,North York,Don Mills South
M1P,Scarborough,Dorset Park
M6H,West Toronto,Dovercourt Village
M3M,North York,Downsview Central
M3K,North York,Downsview East
M3H,North York,Downsview North
M3N,North York,Downsview Northwest
M3L,North York,Downsview West
M6H,West Toronto,Dufferin
M1K,Scarborough,East Birchmount Park
M4J,East York,East Toronto
M9M,North York,Emery
M9C,Etobicoke,Eringate
M6K,West Toronto,Exhibition Place
M2J,North York,Fairview
M5X,Downtown Toronto,First Canadian Place
M3C,North York,Flemingdon Park
M5P,Central Toronto,Forest Hill North
M4V,Central Toronto,Forest Hill SE
M5P,Central Toronto,Forest Hill West
M5B,Downtown Toronto,Garden District
M6B,North York,Glencairn
M1L,Scarborough,Golden Mile
M5T,Downtown Toronto,Grange Park
M1E,Scarborough,Guildwood
M5S,Downtown Toronto,Harbord
M5A,Downtown Toronto,Harbourfront
M5J,Downtown Toronto,Harbourfront East
M5V,Downtown Toronto,Harbourfront West
M2J,North York,Henry Farm
